MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,avg_centroid,avg_rolloff,avg_cross_rate,avg_hnr,person
98.53351593017578,7.441605091094971,7.24918794631958,3.808206081390381,7.1804609298706055,2.3315820693969727,2.8609917163848877,1.784735083580017,5.1485915184021,0.986233115196228,1.6113710403442383,0.29389655590057373,1.9531916379928589,11023.393461049067,19504.080125762193,0.4974962117087689,0.26401233673095703,Remo
98.603515625,7.222746849060059,7.966733455657959,5.2341628074646,7.9101409912109375,2.7605299949645996,2.895585536956787,1.0188039541244507,3.4760079383850098,-0.3376248776912689,0.6872469186782837,0.5791581273078918,2.1549363136291504,11031.190841653906,19478.695455411584,0.4999370508493031,0.27050113677978516,Remo
99.27852630615234,7.647609710693359,7.689616680145264,4.298172473907471,7.597432613372803,3.179539442062378,3.90936541557312,1.5187029838562012,4.185525417327881,0.26211097836494446,1.017360806465149,0.02981141209602356,1.8906128406524658,11030.346123907808,19521.436737804877,0.49841946591898956,0.25982511043548584,Remo
98.32758331298828,6.752869129180908,7.130762577056885,2.9598677158355713,5.618124008178711,1.6651631593704224,3.0231573581695557,0.30458933115005493,2.982675552368164,0.5537166595458984,2.5320727825164795,1.0016080141067505,2.495807647705078,11036.640837515439,19500.528772865855,0.5004156912383856,0.27970895171165466,Remo
100.23332214355469,8.221393585205078,7.135678768157959,2.2842161655426025,5.144070148468018,0.06689959764480591,2.331799268722534,1.0313031673431396,3.660658121109009,-1.0371729135513306,0.682600736618042,-0.11610613018274307,1.9519978761672974,11029.668430346977,19528.114281631097,0.4996325130662021,0.2867453694343567,Remo
99.14810943603516,5.163895130157471,3.9495043754577637,0.35738444328308105,5.649631977081299,2.4257724285125732,3.1572885513305664,-0.1442224085330963,2.6355559825897217,-0.7701287269592285,0.8843345046043396,-0.06282156705856323,2.471754312515259,11030.120642431348,19487.79892339939,0.499738562536295,0.23171359300613403,Remo
98.85415649414062,7.4872050285339355,7.52581262588501,4.997944355010986,8.690757751464844,3.059269666671753,3.19832444190979,2.031524419784546,4.789522647857666,-0.5348799824714661,-0.04149646311998367,0.08514049649238586,2.9668502807617188,11029.76014112888,19508.681878810974,0.4995933825130662,0.25509917736053467,Remo
98.43158721923828,8.719425201416016,9.348793029785156,5.2436699867248535,6.669251441955566,2.356259346008301,3.4726850986480713,1.8206565380096436,3.8386335372924805,0.07774503529071808,1.012479543685913,-0.2637993395328522,1.4666836261749268,11022.490122413607,19524.537919207316,0.49821417229239257,0.3228912055492401,Remo
100.51457214355469,8.6377534866333,7.534888744354248,3.820234775543213,7.380184650421143,1.2725027799606323,1.6777323484420776,0.9754124283790588,4.613804817199707,-0.994064211845398,-0.8468186259269714,-1.2807203531265259,1.4110580682754517,11024.785312491842,19514.684165396342,0.4982039643220093,0.21861720085144043,Remo
99.62950134277344,7.889801502227783,7.43489933013916,4.196907997131348,8.303617477416992,2.996858835220337,2.872788667678833,1.2292205095291138,4.2803874015808105,-0.3878333270549774,0.20034439861774445,-0.4464917778968811,1.8935853242874146,11019.781697052535,19506.581078506097,0.49736577653164926,0.2396528720855713,Remo
